id,title,creator,issuance,publisher,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
mdp.39015016919303,A. S. Pushkin -- kritik,"Pushkin, Aleksandr Sergeevich",1978,Sov. Rossii͡a,"Lysenko, V. S.","Lebedev, Evgeniĭ Nikolaevich",,,,Russian literature -- 19th century -- History and criticism,,,,,In Cyrillic characters.,Mode of access: Internet.,,,
mdp.39015014289881,"A. S. Pushkin, a biographical sketch","Veresaev, V. V.",1937,Co-operative publishing society of foreign workers in the U.S.S.R.,"Scott, H. G.","Donnelly, Elizabeth",,,,,,,,,Mode of access: Internet.,,,,
mdp.39015037615534,A. S. Pushkin,"Pushkin, Aleksandr Sergeevich",1939,Sovetskiĭ pisatel,"Slonimskogo, A. L.",,,,,,,,,,Contents.--t. 1 Stikhotvorenii͡a.--t. 2 Poemy. Skazkhi.--t. 3. Evgeniĭ Onegin. Dramaticheskie proizvedenii͡a.,Mode of access: Internet.,,,
mdp.39015037615542,A. S. Pushkin,"Pushkin, Aleksandr Sergeevich",1939,Sovetskiĭ pisatel,"Slonimskogo, A. L.",,,,,,,,,,Contents.--t. 1 Stikhotvorenii͡a.--t. 2 Poemy. Skazkhi.--t. 3. Evgeniĭ Onegin. Dramaticheskie proizvedenii͡a.,Mode of access: Internet.,,,
njp.32101063827297,A.L.A. booklist,,1905,The Board,,,,,,Books -- Reviews -- Periodicals,Best books -- Periodicals,,,,"""Adopted for state use by the League of Library Commissions,"" Feb. 1906-July 1917.",Mode of access: Internet.,"Published: Chicago, Sept. 1909-July 1917.",,
mdp.39015019007312,A.S. Pushkin ob iskusstve : v dvukh tomakh,"Pushkin, Aleksandr Sergeevich",1990,"""Iskusstvo""","Vishnevskiĭ, A. A.",,,,,,,,,,Includes index.,"Includes bibliographical references (t. 2, p. [210]-315)",Mode of access: Internet.,,
mdp.39015019007304,A.S. Pushkin ob iskusstve : v dvukh tomakh,"Pushkin, Aleksandr Sergeevich",1990,"""Iskusstvo""","Vishnevskiĭ, A. A.",,,,,,,,,,Includes index.,"Includes bibliographical references (t. 2, p. [210]-315)",Mode of access: Internet.,,
mdp.39015048702578,A.S. Pushkin v portretakh,"Pavlova, E. V.",1983,Sov. khudozhnik,,,,,,"Poets, Russian -- 19th century -- Iconography",,,,,Includes index.,Summary in English.,"Title on added t.p.: Pushkin, a gallery of portraits.",Bibliography: v. [1] p. [129]-132.,v. [1] [Text] -- v. [2] Plates.
mdp.39015017919229,A.S. Pushkin v portretakh,"Pavlova, E. V.",1989,Sov. khudozhnik,,,,,,"Poets, Russian -- 19th century -- Pictorial works",,,,,Includes index.,Summary in English.,"Title on added t.p.: Pushkin, a gallery of portraits.",Includes bibliographical references (p. [141]-145).,Mode of access: Internet.
uc1.b3463839,A.S. Pushkin--kritik,"Pushkin, Aleksandr Sergeevich",1978,Sovestka︢ia︡ Rossii︠a︡,"Lysenko, V. S.","Lebedev, E. N.",,,,Russian literature -- 19th century -- History and criticism,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
uc1.b4216338,Abdulla Kakhkhar i ego khudozhestvennyĭ mir,,1989,"Izd-vo ""Fan"" Uzbekskoĭ SSR","Samandarov, I. Ė","Karimov, Ė. A.",,,,,,,,,"At head of title: Akademii͡a nauk Uzbekskoĭ SSR. Ordena ""Znak pocheta"" Institut i͡azyka i literatury im. A.S. Pushkina.",Includes bibliographical references (p. 170-[175]).,Mode of access: Internet.,,
mdp.39015034419427,Abram Tertz and the poetics of crime,"Nepomnyashchy, Catharine Theimer",1995,Yale University Press,,,,,,,,,,,Includes bibliographical references (p. [361]-382) and index.,Mode of access: Internet.,,,
mdp.39015008603295,"The achievements of Vladimir Nabokov : essays, studies, reminiscences, and stories from the Cornell Nabokov Festival",,1984,"Center for International Studies, Committee on Soviet Studies, Cornell University","Parker, Stephen Jan","Gibian, George",,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,"SPEC: From the Dr. Fan Parker Vladimir Nabokov Collection. In publisher's original paper covers. Inscription on title-page: ""To my parents ... Stephen [Jan Parker], June 1984""",,
uc1.32106005553224,"The achievements of Vladimir Nabokov : essays, studies, reminiscences, and stories from the Cornell Nabokov Festival",,1984,"Center for International Studies, Committee on Soviet Studies, Cornell University","Parker, Stephen Jan","Gibian, George",,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,"SPEC: From the Dr. Fan Parker Vladimir Nabokov Collection. In publisher's original paper covers. Inscription on title-page: ""To my parents ... Stephen [Jan Parker], June 1984""",,
hvd.32044014284855,Acht monate in Japan nach abschluss des vertrages von Kanagawa,"Lühdorf, Fr. August",1857,H. Strack,,,,,,,,,,,Mode of access: Internet.,,,,
mdp.39015055425998,Acht Monate in Japan nach Abschluss des Vertrages von Kanagawa,"Lühdorf, Fr. August",1987,In Kormmission bei Franz Steiner Verlag Wiesbaden,,,,,,,,,,,Mode of access: Internet.,,,,
uc1.b3459149,Acta litteraria Academiae Scientiarum Hungaricae,,1957,Akadémiai Kiadó,,,,,,Hungarian literature -- History and criticism -- Periodicals,Hungarian literature -- History and Criticism,"Literature, Comparative -- Periodicals",Literature -- History and criticism -- Periodicals,,MLA international bibliography of books and articles on the modern languages and literatures (Complete edition)0024-8215,Annual bibliography of English language and literature0066-3786,Suspended during 1958.,Mode of access: Internet.,"English, French, Italian, German, or Russian."
mdp.39015052098400,Acta litteraria Academiae Scientiarum Hungaricae,,1957,Akadémiai Kiadó,,,,,,Hungarian literature -- History and criticism -- Periodicals,Hungarian literature -- History and Criticism,"Literature, Comparative -- Periodicals",Literature -- History and criticism -- Periodicals,,MLA international bibliography of books and articles on the modern languages and literatures (Complete edition)0024-8215,Annual bibliography of English language and literature0066-3786,Suspended during 1958.,Mode of access: Internet.,"English, French, Italian, German, or Russian."
uc1.b3662060,Acta litteraria,,1957,Akadémiai Kiadó,,,,,,Hungarian literature -- History and criticism,"Literature, Comparative -- Periodicals",Literature -- History and criticism -- Periodicals,,,Publication suspended during 1958.,Mode of access: Internet.,"French, German, English, Russian or Italian.",Issued by the Magyar Tudományos Akadémia.,
mdp.39015017965016,Adam Mickiewicz in world literature; a symposium,"Lednicki, Wacław",1956,University of California Press,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
uc1.32106001610655,Adam Mickiewicz in world literature; a symposium,"Lednicki, Wacław",1956,University of California Press,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
mdp.39015038902147,"Adam Mickiewicz, poet of Poland; a symposium","Kridl, Manfred",1951,Columbia University Press,,,,,,,,,,,Mode of access: Internet.,,,,
uc1.32106001610739,"Adam Mickiewicz, poet of Poland; a symposium","Kridl, Manfred",1951,Columbia University Press,,,,,,,,,,,Mode of access: Internet.,,,,
mdp.39015012855832,Adam Mickiewicz,"Dernałowicz, Maria",1981,Interpress,,,,,,"Poets, Polish -- 19th century -- Biography",,,,,Translation of: Adam Mickiewicz.,Mode of access: Internet.,,,
mdp.39015023473914,Addresses,"Volkonsk♯±♯Ư, Sergiı̐eı̐Ł♯Ư",1893,J.C. Winship & Co.,,,,,,Women -- Education -- Russia,,,,,To the American flag.--Higher education of women in Russia.--Greeting.--The poet in Pushkin's poetry.--Greeting.--The social office of religious feeling.--Father Smith.--A reply.,Mode of access: Internet.,,,
t7kp7z37v,Addresses,"Volkonsk♯±♯Ư, Sergiı̐eı̐Ł♯Ư",1893,J.C. Winship & Co.,,,,,,Women -- Education -- Russia,,,,,To the American flag.--Higher education of women in Russia.--Greeting.--The poet in Pushkin's poetry.--Greeting.--The social office of religious feeling.--Father Smith.--A reply.,Mode of access: Internet.,,,
uc1.32106006278250,"Un adolescent, roman","Dostoyevsky, Fyodor",1902,Editions de la Revue Blanche,"Ténéon, Félix","Binshtok, V. L.",,,,,,,,,Translation of: Podrostok.,Mode of access: Internet.,,,
uc1.$b319104,Un adolescente,"Dostoyevsky, Fyodor",1922,Imp. de R. Caro Raggío,,,,,,,,,,,Translation of: Podrostok.,Mode of access: Internet.,,,
uc1.$b319105,Un adolescente,"Dostoyevsky, Fyodor",1922,Imp. de R. Caro Raggío,,,,,,,,,,,Translation of: Podrostok.,Mode of access: Internet.,,,
mdp.39015049665832,After Pushkin : versions of the poems of Alexander Sergeevich Pushkin by contemporary poets,,1999,Folio Society,"Feinstein, Elaine","Pushkin, Aleksandr Sergeevich",,,,,,,,,Poems by various 20th century poets based on translations of Pushkins's work.,Mode of access: Internet.,,,
