title,creator,issuance,publisher,url,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
13 let raboty,"Mayakovsky, Vladimir",1922,Tip. VKHUTEMAS,http://hdl.handle.net/2027/uc1.$b431822,,,,,,,,,,,Mode of access: Internet.,,,,
150 Millionen,"Mayakovsky, Vladimir",1981,Zentralantiquariat der Deutschen Demokratischen Republik,http://hdl.handle.net/2027/uc1.32106008534692,,,,,,,,,,,Mode of access: Internet.,,,,
150 Millionen,"Mayakovsky, Vladimir",1981,Athenäum,http://hdl.handle.net/2027/uc1.b5145099,,,,,,,,,,,Translation of: Sto pi︠a︡tʹdesi︠a︡t millionov.,"Reprint.  Originally published:  Berlin : Malik-Verlag, 1924.",Mode of access: Internet.,,
3 great classics,,1964,Arc Books,http://hdl.handle.net/2027/uc1.b3477119,"Chekhov, Anton Pavlovich","Mérimeé, Prosper","Chamisso, Adelbert von",,,,,,,,"Peter Schlemihl, by A. von Chamisso; translated by L. von Löwenstein-Wertheim.--A slight misunderstanding, by P. Mérimée; translated by D. Parmée.--Wife for sale, by A. Chekhov; translated by D. Tutaev.",Mode of access: Internet.,,,
"3 poemas de Lermontov, voz y piano","Ponce, Manuel M.",1951,,http://hdl.handle.net/2027/mdp.39015007921250,"Lermontov, Mikhail I͡Urʹevich",,,,,Songs (High voice) with piano,,,,,"French, Spanish, and English words.",Les etoiles (The stars).--L'ange (The angel).--La bohemienne (The gipsy girl),Mode of access: Internet.,,
3 sisters on Hope Street,"Samuels, Diane",2008,Nick Hern,http://hdl.handle.net/2027/mdp.39015082757165,"Chekhov, Anton Pavlovich","Oberman, Tracy-Ann",,,,Sisters -- England -- Liverpool -- Drama,Jews -- England -- Liverpool -- Drama,,,,"""Hampstead Theatre and Liverpool Everyman and Playhouse present.""",Mode of access: Internet.,,,
A la recherche de Tchékhov; essai de biographie intérieure,"Alexandre, Aimée",1971,Buchet-Chastel,http://hdl.handle.net/2027/mdp.39015027539827,,,,,,,,,,,Mode of access: Internet.,,,,
A la recherche de Tchékhov; essai de biographie intérieure,"Alexandre, Aimée",1971,Buchet-Chastel,http://hdl.handle.net/2027/uc1.$b396131,,,,,,,,,,,Mode of access: Internet.,,,,
A. Chekhov i Iv. Bunin,"Geĭdeko, Valeriĭ",1987,Sov. pisatelʹ,http://hdl.handle.net/2027/mdp.39015019143307,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"A. N. Radishchev, V. G. Belinskiĭ, M. I͡U. Lermontov : zhanr i stil' khudozhestvennogo proizvedenii͡a",,1974,Ri͡azanskiĭ gos. pedagog. institut,http://hdl.handle.net/2027/mdp.39015024659909,,,,,,,,,,,In Cyrillic characters.,"Bibliographical references includes in ""Primechanii͡a"": p. 213.",Mode of access: Internet.,,
A. P. Chekhov : ideĭnye i tvorcheskie iskanii͡a,"Berdnikov, Georgiĭ Petrovich",1984,Khudozh. lit-ra,http://hdl.handle.net/2027/mdp.39015013276889,,,,,,,,,,,Includes bibliographical references and index.,Mode of access: Internet.,,,
A. P. Chekhov : materialy literaturnogo muzei͡a Pushkinskogo doma,,1982,Nauka,http://hdl.handle.net/2027/mdp.39015032026430,"Grudinina, I. E.",,,,,,,,,,At head of title: Akademii͡a nauk SSSR. Institut russkoĭ literatury (Pushkinskiĭ dom),Includes bibliographical references and index.,Mode of access: Internet.,,
"A. P. Chekhov : seminariĭ, posobie dli͡a studentov","Aleksandrov, Boris Ivanovich",1964,Prosveshenie,http://hdl.handle.net/2027/mdp.39015004824275,,,,,,,,,,,Mode of access: Internet.,,,,
A. P. Chekhov i ego izdatelʹ A. F. Marks,"Viduėt͡skai͡a, Irma Pavlovna",1977,Nauka,http://hdl.handle.net/2027/mdp.39015014163672,,,,,,,,,,,On leaf preceding t.p.: Akademii͡a nauk SSSR. Institut mirovoĭ literatury imeni A. M. Gorʹkogo.,Includes bibliographical references.,Mode of access: Internet.,,
A. P. Chekhov i ego vremi͡a,"Turkov, Andreĭ Mikhaĭlovich",1980,Khudozh. lit.,http://hdl.handle.net/2027/mdp.39015028980343,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov i ego vremi͡a,"Turkov, Andreĭ Mikhaĭlovich",1987,"""Sovetskai͡a Rossii͡a""",http://hdl.handle.net/2027/mdp.39015050954356,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov o literature,"Chekhov, Anton Pavlovich",1955,Gos. izd-vo khudozh. lit-ry,http://hdl.handle.net/2027/mdp.39015026672462,,,,,,"Authors, Russian -- Correspondence, reminiscences, etc",Russian literature -- 19th century,,,,Romanized record.,Mode of access: Internet.,,,
"A. P. Chekhov v portretakh, illi͡ustrat͡sii͡akh, dokumentakh","Kalaushin, Matveĭ Matveevich",1957,,http://hdl.handle.net/2027/mdp.39015030581956,,,,,,,,,,,Romanized.,Mode of access: Internet.,,,
A. P. Chekhov v vospominanii͡akh sovremennikov,,1986,"""Khudozh. lit-ra""",http://hdl.handle.net/2027/mdp.39015013112696,"Gitovich, N. I.",,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes bibliographical references and index.,Mode of access: Internet.,,,
A. P. Chekhov v vospominanii͡akh sovremennikov; sbornik,"Kotov, A. K.",1947,Gosudarstvennoe izd-vo khudozhestvennoĭ literatury,http://hdl.handle.net/2027/mdp.39015030582178,,,,,,,,,,,"Bibliographical references included in ""Kommentarii"" (p. 481-[506])",Mode of access: Internet.,,,
A. P. Chekhov v znachenīi russkago pisateli͡a-khudozhnika : iz kriticheskoĭ literatury o Chekhovi͡e,,1906,Sklad v knizhn. magazini͡e V. S. Spiridonova i A. M. Mikhaĭlova,http://hdl.handle.net/2027/njp.32101071958944,"Pokrovskīĭ, N.",,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
A. P. Chekhov vo Frant͡sii : Lekt͡sii͡a,"Egorov, Nikolaĭ Sergeevich",1975,LGPI,http://hdl.handle.net/2027/mdp.39015030581840,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"A. P. Chekhov, 25 let so dni͡a smerti, 1904-1929",,1962,Gos. izd-vo,http://hdl.handle.net/2027/mdp.39015027539835,"Sobolev, I͡Uriĭ",,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
